Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Poltergeist,"Bedrock > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118633621/poltergeist,2.0,-1,Sport,5.10-,1,65,47.57807,-120.79618
"The Shining","Bedrock > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118633240/the-shining,3.0,-1,Sport,5.10c,1,80,47.57807,-120.79618
"Blair Witch Project","Bedrock > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118633705/blair-witch-project,2.0,-1,Sport,5.11,1,40,47.57807,-120.79618
"Bohemians at the Gym","The Balcony > Fourth of July Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118633889/bohemians-at-the-gym,3.0,-1,Sport,5.10+,1,60,47.5791,-120.79974
"Si Senor","Waterfall Slab > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119673846/si-senor,1.0,-1,"Trad, TR",5.5,1,45,47.57055,-120.78577
"Muchas Gracias","Waterfall Slab > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/119673868/muchas-gracias,1.5,-1,"Trad, TR",5.10-,1,45,47.57055,-120.78577
Mossolinni,"Little Italy > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120612656/mossolinni,1.5,-1,Sport,5.5,1,35,47.57029,-120.78591
Fotoromanza,"Little Italy > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120841059/fotoromanza,2.9,-1,Sport,5.10d,1,50,47.57029,-120.78591
"Mob Mentality","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012412/mob-mentality,1.5,-1,Sport,5.5,1,50,47.57064,-120.78575
"Il Padrino","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012642/il-padrino,2.0,-1,Sport,5.6,1,45,47.57064,-120.78575
"Bolle Nere","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012780/bolle-nere,2.7,-1,Sport,5.6,1,40,47.57064,-120.78575
"Meta Grumo","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012441/meta-grumo,1.5,-1,Sport,5.7,1,40,47.57064,-120.78575
"Angolo di Marco","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012273/angolo-di-marco,2.0,-1,Sport,5.8,1,35,47.57064,-120.78575
Peccatore,"Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012381/peccatore,1.9,-1,Sport,5.8,1,45,47.57064,-120.78575
"Rimescolare di Bambino","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012404/rimescolare-di-bambino,2.0,-1,Sport,5.8,1,50,47.57064,-120.78575
"Bella Ciao","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012795/bella-ciao,2.3,-1,Sport,5.8,1,40,47.57064,-120.78575
"La Diga","Bambino > Little Italy Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120012566/la-diga,2.0,-1,Sport,5.9,1,40,47.57064,-120.78575
